WORD,FREQUENCY
tener,920
él,629
pagar,603
trabajar,558
contrato,557
empresa,549
tienda,522
yo,518
hacer,486
semana,454
decir,394
encargado,381
querer,372
llegar,366
poder,363
empezar,337
estar,334
gente,321
hora,303
mes,298
tú,293
pasar,292
entrar,287
horario,285
cobrar,281
jefe,279
experiencia,277
poner,274
cliente,270
dar,266
persona,264
dejar,260
hablar,255
llamar,250
llevar,243
trabajador,243
echar,242
turno,219
salir,212
compañero,212
madrid,209
vender,195
quedar,194
ir,191
sueldo,189
compañera,189
extra,183
venir,177
trabajosruinerosmadrid,177
pedir,172
jornada,172
dinero,171
año,171
malo,170
coger,168
haber,167
descanso,163
contar,160
empleado,158
euro,154
mañana,153
cambiar,149
contratar,149
saber,146
minuto,140
acabar,139
personal,134
cosa,130
entrevista,129
producto,128
volver,128
semanal,127
medio,126
laboral,123
puesto,121
vacaciones,121
noche,118
vida,118
obligar,118
mandar,117
chica,116
problema,116
calle,115
formación,113
deber,113
caso,111
comer,111
seguir,110
el,108
firmar,108
prueba,107
condición,104
holo,104
caja,104
venta,104
libre,102
meter,100
cara,100
tratar,98
despedir,97
jefa,96
terminar,94
gracias,94
casa,92
restaurante,92
ser,92
bronca,91
sitio,91
aguantar,91
domingo,90
cerrar,90
mínimo,90
esperar,87
gustar,86
mierda,85
tocar,85
ver,85
bajo,85
comida,83
barcelono,82
falta,81
nómina,81
tipo,79
trato,79
principio,79
limpiar,77
necesitar,77
baño,77
enseñar,77
servicio,76
preguntar,76
forma,75
centro,75
llamado,75
explicar,75
valencia,75
presión,75
ganar,74
abrir,74
objetivo,73
mano,73
buscar,72
sentir,71
visto,71
derecho,70
zona,69
gerente,69
único,69
quitar,68
holar,68
caer,68
almacén,68
sábado,68
alto,67
cocina,67
manager,67
grupo,65
convenio,65
avisar,65
situación,65
dueño,64
negro,64
festivo,63
finiquito,63
imposible,63
gritar,63
recibir,62
local,61
verano,61
mundo,61
trabajosruinesbarcelon,61
seguido,61
despido,60
encontrar,60
fijo,59
comprar,59
parecer,59
camarero,59
lunes,58
cumplir,57
obviamente,57
mentira,57
comentar,57
ansiedad,57
equipo,57
lush,57
periodo,56
cierre,56
vivir,56
mujer,55
diario,55
ayudar,54
baja,54
quejar,54
alguien,53
mirar,53
exigir,53
devolver,53
muchísimo,53
atender,52
creer,52
decidir,52
suponer,52
oficina,52
comisión,51
seguridad,51
normal,51
faltar,51
salario,50
denunciar,50
pensar,50
plantilla,50
comentario,50
ambiente,50
ocasión,49
cambio,49
basura,49
puerta,49
pagado,49
navidad,48
tema,48
librar,48
médico,48
suerte,48
servir,47
punto,47
social,46
tirar,46
aprovechar,46
escribir,46
llorar,46
siquiera,46
resto,46
ofrecer,45
idea,45
dedicar,45
completo,45
mayoría,45
españo,45
horrible,44
realidad,44
aceptar,44
amenazar,43
subir,43
papel,43
joven,43
tomar,42
aprender,42
comercial,41
sacar,41
ropa,41
familiar,41
resultar,41
miedo,41
valer,41
negar,41
ruinero,40
tarea,39
amigo,39
renovar,39
entender,39
cubrir,39
cobra,39
viernes,39
socio,39
ilegal,38
limpieza,38
aparte,38
importante,38
bajar,38
trabajosruinerosvalencia,38
cadena,37
durar,37
excusa,37
entero,37
respeto,37
importar,37
mesa,37
responsable,36
simplemente,36
llegado,36
supervisor,36
mitad,36
gana,36
número,36
comenzar,36
conocer,36
teléfono,36
nombre,35
necesidad,35
intentar,35
contratado,35
permitir,35
enterar,35
superior,35
pedido,35
precio,35
perder,35
vergüenza,35
mantener,34
absolutamente,34
robar,34
pésimo,34
constantemente,34
supuestamente,33
corresponder,33
barcelona,33
ayudante,33
tarde,33
fin,33
superar,33
genial,33
encargar,33
fiesta,33
constante,32
acoso,32
legal,32
dependienta,32
respuesta,32
jamás,32
familia,32
niño,32
uniforme,32
pequeño,32
leer,32
clase,32
parar,31
trabajado,31
super,31
vigilar,31
favor,31
presionar,31
directamente,31
duro,31
seguro,30
