,Text,Prediction
0,Desde el paro me ofrecieron un curso de cocina para ser Coordinadora de cocina para los restaurantes Ginos o Vips Hasta ahí la cosa bueno no sonaba mal necesitaba un trabajo y estaba dispuesta y sabía que iba a der un trabajo Ruinero pero que me ayudaría cubrir unos meses mis gastos Bien conseguí el trabajo y me destinaron a este sitio al Ginos Palacio de Hielo Las condiciones fueron las siguientes 20 horas a la semana de jueves a domingo en turno partido Sin festivos obligados por contrato ojo aqui que hay contratos que si te lo especifican y la gente cuando te da el contrato o no te lo dice se lo calla o te engañan diciendote que traajas los festivos por contrato cuando saben que no te has leido tu contrato Bueno en principio la cosa empezo mal ya el primer dia me ponen a fregar en una pila de cacharros durante 2 horas de cuatro que hice ese dia Al dia siguiente el jefe que no era jefe de cocina simplemente era el responsable porque no habia llegado a la categoria me hace una encerrona con un gerente de zonas el gerente del restaurante ginos de ahi y el mismo Bueno sigo adelante con ello porque necesitaba el trabajo aún tenía la fuerza suficiente para seguir adelante Eran 20 hora semanales al lado de mi casa mi plan era estar un año para ahorrar y seguir estudiando por eso buscaba algo de fin de semana El trabajo en sí mucha presión porque el resto del equipo llevaban la que menos 1 año trabajando en la empresa asi que como era la nueva siempre pringaba Al mes ya empecé a ver de que iba el rollo El jefe me intento engañar pra cambiarme el horario de lunes a miercoles sin cambiar el contrato me hizo trabajar varios días una hora de más sin cobrar Me dejaban horas sin pagar y hacía trapicheos con los sistemas de gestión del personal para luego pagarmelas Y luego aquí están las dos peores experiencias del sitio el compañero con el que solía trabajar un día creo que fue un sábado se le ocurre traicioneramente con una sartén y un cazo dar un sartenazo en mi oído izquierdo Ya de antes me parecía mal compañero de trabajo pero eso ya fue lo que me hizo entrar en crisis Jamás había sufrido una vejación así En mi vida,1
1,Quería compartir lo que viví en el primer trabajo de mi vida Cinebox Narón en Coruña Galicia Tenía 18 años y era mi primer trabajo como el de mucha gente que entra ahí Bien a mí no me afectó para nada la actitud de los demás trabajadores ni las palabras ni acciones pero a una compañera mía le han hecho moving varias compañeras que llevaban con ella casi más de 5 años le hacían la vida imposible día tras día yo la veía llorando en el almacén día sí y día también Lo peor de todo El jefe sabía lo que estaba pasando y en vez de tomar medidas contra las trabajadoras que hacían moving se reía con ellas de la pobre muchacha Lo que es todavía peor La víctima tenía 22 23 años y ellas de treinta y pico para arriba todas con hijas La chica tuvo que dejar el trabajo y ni siquiera le arreglaron los papeles del paro ni nada nada de nada que es todavía peor Que a día de hoy me sigo encontrando chicas y me cuentan historias muy parecidas a estás No sé quién da más asco si las trabajadoras o el jefe Ojalá nunca les lleguen sus hijos llorando pq una persona que podría ser su padre o madre le haga la vida imposible en el trabajo Cogen a una persona de punto y le hacen la vida imposible hasta que se vaya vergüenza de personal vergüenza de jefe y vergüenza de empresa trabajosruineroslacoruña odeónmulticines narón,1
2,Estuve trabajando en el papizza de la calle Augusto Figueroa en Madrid Pues bien el sitio estaba abierto por dos franquiciados al principio todo comenzó siendo normal por lo que todxs lxs compañerxs empezamos con muchas ganas ya a las dos semanas la encargada no aguantó los desplantes del jefe que gestionaba el local que es del que hablaré aquí el otro la verdad que apenas aparecía ni el ambiente de trabajo que se estaba gestando y se fue Este señor nos gritaba y a pesar de que nunca trabajaba con nosotros por lo que no sabía el tiempo que se tardaba en abrir cerrar nos exigía tiempos imposibles se lo decíamos y solo nos contestaba que él era el jefe nosotros los empleados y punto Muchas veces hacíamos horas de más que o no contaban o se pagaban en negro había dos calendarios el real que sólo teníamos nosotros y el legal sin esas horas extra Para mí el colmo y por lo que presenté mi carta de renuncia además de por haber visto a dos de mis compis llorar por los machaques y el estrés al que nos sometía y yo misma acudir con ansiedad al trabajo fue que nos vigilaba por las cámaras y nos llamaba en mitad del trabajo para echarnos la bronca en un tono muy despectivo La última vez me cansé y le contesté que no tenía derecho a tratarnos así que si él creía que podíamos hacerlo mejor viniese y viese que era imposible cumplir con las exigencias que planteaba evidentemente que le contestase le sentó fatal a la que pudo vino y yo me puse a llorar con la situación y únicamente me dijo una persona llorando no puede estar en la barra métete a la cocina una vez en casa le mandé mi carta de renuncia tanto al correo como al WhatsApp dando los 15 días exigidos por ley él no me contestó y el día que fui a trabajar para cumplir con estos 15 días estaba él en la tienda le dí la carta en mano y se puso histérico soy tu jefe y estos días vas a hacer lo que yo diga desplantes un tono muy desagradable Horrible pero yo pensaba que me quedaban dos semanas y ya me podría ir de ese infierno así que me puse a currar hasta que le dijo a un compañero que se acababa de incorporar y al que yo le estaba dando ánimos con la caja,1
3,En los festivales del Madcool y des dowload nos explotaban no nos daban descansos la organización era pésima y a algunos todavía no nos han pagado a mi por ejemplo yo trabaje en el 2017 y no me han pagado nada trabajosruinerosmadrid festival madcool,1
4,Restaurante Caleuche en Barcelona No he trabajado allí pero fui por una oferta teóricamente media jornada 5 días por semana Pues resulta que eso era el contrato por que querían que hiciera jornada completa 6 días pero contratado con las condiciones anteriormente mencionadas Y lo peor es pensar que alguien lo aceptará en su necesidad trabajosruinerosbarcelona santpau restaurante caleuche,1
5,Apertura del Sambil vips Smart Después de haber trabajado en bastantes vips acabé haciendo una apertura en este Se me calló dos veces el carro de metal en el que se ponen las bandejas con lo sobrante de la comida encima con cristales cubiertos cuchillos y de todo por una rampa que hay nada más entrar al ofice básicamente el carro se te caía encima porque la rampa le daba velocidad justo esta detrás de barra esto y el encargado gritándome y diciendo que vaya mierda que lo recogiera todo delante de la cola de clientes que estaban flipando porque en vez de ayudarte te achacababa Te hacía quedarte más y tenia mazo favoritismos subía a encargadas a las que le hacían la pelota sin ningún tipo de experiencia a todo esto este hombre era el gerente del vGinos que hay al lado como es grupo vips pues mandaba en los 2 total que mi encargado bueno vdd le dio un chungo al corazón que ojalá esté bien a día de hoy y se la liaron le dijeron que se fuera a ginos que iba a trabajar Mucho menos ya que cierran entre los horarios de comidas y cenas y en cuanto acepto a parte de mentirle y seguir trabajando como un cabron el tío vino al vips y me dijo ya no necesito la firma de tu encargado para echarte porque se ha ido a ginos asique este es tu despido sin ningún tipo de motivo estuve 3 días detrás para que me pagaran porque la oficina estaba cerrada y no podían hacer el impreso o porque el de contabilidad no estaba y no podían darme el finiquito Literalmente una mierda sin descansos para comer y puedes acabar muerta con el carro del diablo y un cuchillo que te caiga en toda la cara porque eso mide dos metros Te pagan una mierda te tratan mal y encima ni te ayudan una vergüenza de apertura y una vergüenza de todo trabajosruinerosmadrid leganes vips vipssmart ginos,1
6,Vips goya Madrid Empecé mi formación con ellos y nada más llegar se nos calló un brownie donde entra el camión de los pedidos como la oficina con el jefe estaba delante lo cojo corriendo y le dije a la chica que me enseñaba nadie lo vio ahora lo tiramos a lo que me respondió que estaba bien y lo dejara en la bandeja con los demas repito donde aparca el camión que esta lleno de mierda de todos los lados Te dan casi de comer todos los días arroz y si les caes mal tienen una cubitera dentro de barra de la que cojen el hielo con las manos de las bebidas pues te ponen un vaso de agua de esos hielos que todo el mundo ha metido la mano para que te lo bebas que a saber lo que puedes cojer pasaron 3 ratas saliendo de cocina y todo el mundo se levantó y se fue básicamente un asco trabajosruinerosmadrid goya vips,1
7,RESTAURANTE SANTA ANA debajo del hotel bymelia Nuevos gerentes hablan en la barra en catalán sobre los empleados y demás la chica trata mal a todos sus empleados llegando a decirme delante de una mesa quita la mierda de ahí antes de llevar el siguiente plato vaya puta mierda y haciéndote sentir menos te despiden porque no encajas sin motivo no te forman te miran mal y a veces ni te responden al hablar el encargado que había cuando se fueron de vacaciones los tocapelotas decía a los clientes que estábamos desinfectando y que no podían entrar que teníamos la sala cerrada básicamente ahí hace lo que le da la gana todo el mundo el jefe de cocina todo el día bo pululando por ahí al terminar el servicio que también como le caigas mal la has jodido te habla mal te tratan mal y en definitiva hacen que tu trabajo sea un infierno trabajosruinerosmadrid restauranteanalasanta plazasantaana,1
8,Txapela MAdrid Gran Vía Empecé a trabajar teniendo titulación en hosteleria y nutrición con un contrato de 20h con el que hacías 36 39 y hasta 40 las extras si podías se les olvidaba darte la hoja para firmarlas y no te las pagaban los 3 gerentes unos misóginos impresionantes un día cogieron un panfleto de masajes sexuales y soltó un comentario como Anda si me sale más barato un final feliz que vosotras y comentarios así cada día te trataban mal en varias ocasiones nos hicieron sentir mal hasta incluso llorar llamándonos tontas etc mi compañera y yo ya que trabajábamos muchas horas nos metíamos smints en la boca para no marcarnos y cuando olían el olor nos hacían escupir los porque en el servicio no se come EL DIA 8 DE MARZO varias chicas intentaron ir al baño y el mismo encargado gerente no las dejo llegando a empujar a una y ocasionando que entraran TODAS las del grupo pidiendo ir al baño que es necesidad de primera tanto como el agua y se puso violento y no Las dejo repito siendo el 8 M y seguiría diciendo mierdas que hace ANGRUP en sus txapelas tapatapas y demás pero estaría 1 año Contratos de mierda poco dinero te tratan mal como comida de personal te tiras semanas comiendo patatas fritas y si te mareas te jodes no te daban vacaciones y te la liaban para que las cojieras justo cuando te iban a echar para no pagarlas trabajosruinerosmadrid granvia txapela angrup,1
9,Os imagináis currar aquí Hola Este verano hice una entrevista de trabajo en el restaurante GREEN BEE de Sant Cugat Me ofrecieron un contrato en prácticas de jornada completa con fines de semana y nocturnidad por 450 al mes más o menos A todo esto el jefe en la entrevista me hizo preguntas personales Me preguntó si tenía novio si él aceptaba que yo tuviera este tipo de trabajo etc Bromeó diciendo que esperaba que mi novio no se pusiera celoso de él Además me dijo que estaría bien que llevara escote Greenbee Barcelona Trabajosruinerosbarcelona,1
